indiv	collection	repunit	inferred_collection	repu_scaled_like
1	1	NA	1	1
10	1	NA	1	1
100	1	NA	1	1
101	1	NA	1	1
102	1	NA	1	1
103	1	NA	1	1
104	1	NA	2	1
105	1	NA	1	1
106	1	NA	1	1
107	1	NA	1	1
108	1	NA	1	1
109	1	NA	1	1
11	1	NA	1	1
110	1	NA	1	1
111	1	NA	1	1
112	1	NA	1	1
113	1	NA	1	1
114	1	NA	1	1
115	1	NA	1	1
116	1	NA	1	1
117	1	NA	1	1
118	1	NA	1	1
119	1	NA	1	1
12	1	NA	1	1
120	1	NA	1	1
121	1	NA	1	1
122	1	NA	1	1
123	1	NA	1	1
124	1	NA	1	1
125	1	NA	1	1
126	1	NA	1	1
127	1	NA	1	0.999999995611353
128	1	NA	1	1
129	1	NA	1	1
13	1	NA	1	1
130	1	NA	1	1
131	1	NA	1	1
132	1	NA	1	0.999999921160904
133	1	NA	1	1
134	1	NA	1	1
135	1	NA	1	1
136	1	NA	1	1
137	1	NA	1	1
138	1	NA	1	1
139	1	NA	1	1
14	1	NA	1	1
140	1	NA	1	1
141	1	NA	1	1
142	1	NA	1	1
143	1	NA	1	1
144	1	NA	1	1
145	1	NA	1	1
146	1	NA	1	1
147	1	NA	1	1
148	1	NA	1	1
149	1	NA	1	1
15	1	NA	1	1
150	1	NA	1	1
151	1	NA	1	1
152	1	NA	1	1
153	1	NA	1	1
154	1	NA	1	1
155	1	NA	1	1
156	1	NA	1	0.999999999995408
157	1	NA	1	1
158	1	NA	1	1
159	1	NA	1	1
16	1	NA	1	1
160	1	NA	1	1
161	1	NA	1	1
162	1	NA	1	1
163	1	NA	1	1
164	1	NA	1	1
165	1	NA	1	1
166	1	NA	1	1
167	1	NA	1	1
168	1	NA	1	1
169	1	NA	1	1
17	1	NA	1	1
170	1	NA	1	1
171	1	NA	1	0.999999999999801
172	1	NA	1	1
173	1	NA	1	1
174	1	NA	1	1
175	1	NA	1	1
176	1	NA	2	0.999999999999991
177	1	NA	1	1
178	1	NA	1	1
179	1	NA	1	1
18	1	NA	1	1
180	1	NA	1	1
181	1	NA	1	1
182	1	NA	1	1
183	1	NA	1	1
184	1	NA	1	1
185	1	NA	1	1
186	1	NA	1	1
187	1	NA	1	1
188	1	NA	1	1
189	2	NA	2	1
19	1	NA	1	1
190	2	NA	2	1
191	2	NA	2	1
192	2	NA	2	1
193	2	NA	2	1
194	2	NA	2	1
195	2	NA	2	1
196	2	NA	2	1
197	2	NA	2	1
198	2	NA	2	1
199	2	NA	2	1
2	1	NA	1	1
20	1	NA	1	1
200	2	NA	2	1
201	2	NA	2	1
202	2	NA	2	1
203	2	NA	2	1
204	2	NA	2	1
205	2	NA	2	1
206	2	NA	2	1
207	2	NA	2	1
208	2	NA	2	1
209	2	NA	1	1
21	1	NA	1	1
210	2	NA	2	1
211	2	NA	2	1
212	2	NA	2	1
213	2	NA	2	1
214	2	NA	2	1
215	2	NA	2	1
216	2	NA	2	1
217	2	NA	2	1
218	2	NA	2	1
219	2	NA	2	1
22	1	NA	1	1
220	2	NA	2	1
221	2	NA	2	1
222	2	NA	2	1
223	2	NA	2	1
224	2	NA	2	1
225	2	NA	2	1
226	2	NA	2	1
227	2	NA	2	1
228	2	NA	2	1
229	2	NA	2	1
23	1	NA	1	1
230	2	NA	2	1
231	2	NA	2	1
232	2	NA	2	1
233	2	NA	2	1
234	2	NA	2	1
235	2	NA	2	1
236	2	NA	2	1
237	2	NA	2	1
238	2	NA	2	1
239	2	NA	2	1
24	1	NA	1	1
240	2	NA	2	1
241	2	NA	2	1
242	2	NA	2	1
243	2	NA	2	1
244	2	NA	2	1
245	2	NA	2	1
246	2	NA	2	1
247	2	NA	2	1
248	2	NA	2	1
249	2	NA	2	1
25	1	NA	1	1
250	2	NA	2	1
251	2	NA	2	1
252	2	NA	2	1
253	2	NA	2	1
254	2	NA	2	1
255	2	NA	2	1
256	2	NA	2	1
257	2	NA	2	1
258	2	NA	2	1
259	2	NA	2	1
26	1	NA	1	1
260	2	NA	2	1
261	2	NA	2	1
262	2	NA	2	1
263	2	NA	2	1
264	2	NA	2	1
265	2	NA	2	1
266	2	NA	2	1
267	2	NA	2	1
268	2	NA	2	1
269	2	NA	2	1
27	1	NA	1	1
270	2	NA	2	1
271	2	NA	2	1
272	2	NA	1	1
273	2	NA	2	1
274	2	NA	2	1
275	2	NA	2	1
276	2	NA	2	1
277	2	NA	2	1
278	2	NA	2	1
279	2	NA	2	1
28	1	NA	1	1
280	2	NA	2	1
281	2	NA	2	1
282	2	NA	2	1
283	2	NA	2	1
284	2	NA	1	0.999999999148417
